day	temperaturemin	temperaturemax	precipitation	avgwindspeed	fastest2minwindspeed	fastest5secwindspeed
2548	64	78.1	0.28	14.09	25.95	35.12
2549	46.9	68	1.95	8.05	21.92	29.97
2550	29.1	46.9	0	6.49	12.97	21.03
2551	23.2	39.9	0	2.68	12.08	16.11
2552	24.3	53.1	0.03	1.12	8.05	10.07
2553	26.2	52	0	1.12	8.05	12.08
2554	25.2	59	0	1.12	8.95	12.08
2555	43	63	1.94	7.16	21.92	31.09
2556	35.1	53.1	0	1.79	8.95	14.09
2557	32	51.1	0	3.8	12.97	19.91
2558	29.1	51.1	0	2.46	8.95	12.97
2559	37	48.9	0.33	2.68	12.97	21.92
2560	22.1	43	0	7.38	21.92	31.99
2561	19.2	37.9	0	2.24	8.05	12.97
2562	37	62.1	0	4.92	16.11	21.03
2563	16.2	61	0.13	13.65	29.97	38.92
2564	9.1	25.2	0	7.61	16.11	25.05
2565	15.3	43	0	2.91	10.07	12.97
2566	25.2	54	0	2.46	8.95	14.09
2567	39	45	0.57	3.58	10.07	14.09
2568	45	69.1	0.28	10.29	59.95	86.12
2569	39	57.9	0	5.82	16.11	25.05
2570	33.1	62.1	0	7.16	21.03	25.95
2571	37.9	54	0.3	2.91	12.08	16.11
2572	33.1	59	0	4.47	17	23.94
2573	32	44.1	0.07	3.8	12.08	17
2574	29.1	55.9	0	9.17	21.03	25.05
2575	27.1	46.9	0	6.71	17	23.94
2576	30.2	54	0	8.5	17	25.95
2577	30.2	64	0	8.05	18.12	23.94
2578	26.2	51.1	0.1	4.92	17	27.96
2579	18.1	30.2	0	4.47	12.97	19.91
2580	16.2	37.9	0	4.7	14.99	21.92
2581	11.1	27.1	0	6.26	14.09	23.04
2582	18.1	39.9	0	15.21	25.05	33.11
2583	22.1	52	0	8.5	19.91	25.05
2584	33.1	64.9	0	9.62	18.12	23.94
2585	18.1	33.1	0.18	8.28	14.99	23.04
2586	14.2	27.1	0	4.03	10.07	14.99
2587	7.2	37.9	0	1.79	12.08	17
2588	15.3	53.1	0	2.01	8.95	12.97
2589	24.3	59	0	2.91	12.08	14.99
2590	41	64	0	8.05	18.12	25.05
2591	39.9	64	0.18	9.62	21.03	29.97
2592	37.9	39.9	0.48	7.61	16.11	21.03
2593	37.9	53.1	0.06	4.7	12.08	19.91
2594	31.1	42.1	0	3.58	10.07	18.12
2595	35.1	52	0	2.91	10.07	16.11
2596	34	50	0	2.46	8.95	17
2597	29.1	55	0	3.13	14.99	19.91
2598	35.1	43	0.08	2.91	12.97	16.11
2599	25.2	35.1	0	7.16	14.09	18.12
2600	23.2	30.2	0.64	10.96	17	29.08
2601	30.2	36	0.39	6.71	16.11	23.04
2602	27.1	55.9	0	8.95	16.11	19.91
2603	32	45	0.27	6.49	21.92	36.01
2604	29.1	53.1	0	4.47	16.11	23.04
2605	28.2	45	0	6.26	14.99	21.92
2606	35.1	64.9	0	4.03	14.09	21.92
2607	48.9	72	0.5	8.28	21.92	27.96
2608	52	72	0	9.17	23.94	29.97
2609	41	73	0.4	11.41	31.99	40.94
2610	36	64	0	2.01	8.05	10.07
2611	34	66.9	0	6.49	21.03	25.05
2612	37.9	60.1	0	5.14	14.99	23.94
2613	29.1	53.1	0	3.13	10.07	14.99
2614	32	48.9	0	3.58	10.07	14.99
2615	24.3	55	0	5.82	21.92	25.95
2616	26.2	45	0	8.95	17	25.05
2617	28.2	55	0	3.36	12.08	14.09
2618	34	71.1	0	8.28	21.92	27.96
2619	20.1	61	0.36	10.96	25.05	36.91
2620	16.2	37.9	0	7.38	17	23.04
2621	30.2	44.1	0	4.03	10.07	12.97
2622	30.2	42.1	0.55	13.42	21.03	29.97
2623	33.1	36	1.72	10.29	21.92	31.99
2624	27.1	68	0	4.25	17	21.92
2625	39	66	0	3.36	12.97	21.03
2626	34	73.9	0	5.37	16.11	21.03
2627	44.1	79	0	5.14	16.11	21.92
2628	42.1	70	0.35	12.97	29.08	33.11
2629	29.1	45	0	7.61	21.03	35.12
2630	24.3	60.1	0	9.17	23.04	29.08
2631	46	72	0	8.5	23.04	31.99
2632	36	55.9	0.29	8.95	18.12	25.05
2633	31.1	36	0.46	10.29	19.91	25.05
2634	30.2	37	0.09	8.05	14.99	21.92
2635	35.1	46.9	0.04	5.37	14.09	17
2636	39	66	0	5.37	17	25.05
2637	32	69.1	0	5.37	17	21.03
2638	46	75.9	0	8.05	18.12	25.05
2639	36	57	0.14	4.92	19.91	23.94
2640	30.2	50	0	4.7	12.08	14.99
2641	33.1	45	0.03	5.82	12.97	19.91
2642	29.1	46.9	0	6.93	17	27.96
2643	24.3	59	0	6.93	17	29.08
2644	44.1	69.1	0.31	6.71	21.92	27.96
2645	55.9	66	0.49	5.59	25.05	36.91
2646	42.1	62.1	0.23	10.51	25.05	36.91
2647	36	72	0	4.03	12.97	19.91
2648	39	80.1	0	2.68	16.11	19.91
2649	52	86	0	6.26	18.12	23.04
2650	50	78.1	0	4.92	12.08	14.99
2651	57	82	0	11.63	31.99	36.91
2652	53.1	71.1	0	6.04	14.99	21.03
2653	44.1	60.1	0	9.62	18.12	25.05
2654	43	64	1.42	6.93	18.12	27.96
2655	55	66.9	0.01	6.71	21.92	27.96
2656	45	68	0.07	3.36	12.97	21.03
2657	39.9	73.9	0	6.49	21.03	25.95
2658	52	78.1	0	13.42	29.08	35.12
2659	54	81	0	7.16	16.11	21.92
2660	59	81	0	11.18	18.12	25.05
2661	63	75.9	0.03	10.74	21.92	29.97
2662	39	71.1	1.32	10.51	25.05	36.91
2663	33.1	54	0	7.61	17	25.05
2664	31.1	64	0	7.83	18.12	21.92
2665	37.9	63	0.18	6.26	14.99	19.91
2666	46	53.1	0.56	8.95	16.11	21.92
2667	48.9	68	0	12.3	23.94	35.12
2668	42.1	73.9	0	3.58	12.08	14.99
2669	46.9	82.9	0	5.82	17	27.96
2670	50	71.1	0	6.04	16.11	23.94
2671	39.9	71.1	0	3.8	12.97	16.11
2672	48.9	80.1	0.47	6.71	23.94	36.91
2673	48.9	79	0	6.71	19.91	23.94
2674	51.1	84	0	5.14	16.11	21.03
2675	54	66.9	0	6.93	14.99	21.03
2676	52	64.9	0.05	6.93	12.97	17
2677	64.9	77	1.12	10.96	23.94	38.03
2678	62.1	79	0	13.65	27.96	36.01
2679	51.1	69.1	0	4.7	14.09	21.03
2680	53.1	75.9	0	5.82	17	21.92
2681	48.9	82.9	0	5.59	19.91	29.08
2682	55	73	0	5.82	17	21.03
2683	55.9	84	0	3.8	10.07	14.09
2684	59	78.1	0	3.58	12.08	17
2685	55	89.1	0	6.26	21.03	25.95
2686	63	89.1	0.07	8.72	21.03	25.95
2687	64	86	0	8.95	23.04	29.08
2688	60.1	86	0	2.24	8.95	12.97
2689	57.9	90	0	2.68	14.09	17
2690	66.9	91.9	0	5.82	12.08	16.11
2691	68	89.1	0	8.05	14.99	21.92
2692	66.9	79	3.38	8.95	14.99	31.09
2693	55	73	0.18	7.16	16.11	25.95
2694	46.9	71.1	0	5.37	16.11	23.04
2695	46	68	0	3.8	12.97	18.12
2696	45	73	0	2.01	12.08	17
2697	50	79	0	8.05	21.03	25.05
2698	60.1	87.1	0	7.83	16.11	21.03
2699	64	88	0	4.7	14.09	19.91
2700	63	82	0	3.58	12.97	21.92
2701	53.1	79	0	3.36	10.07	16.11
2702	54	82	0	2.46	10.07	14.09
2703	61	87.1	0.09	8.72	17	25.05
2704	66	90	0.22	5.82	25.05	40.94
2705	64	90	0	3.8	14.99	19.91
2706	64.9	75.9	0.08	5.82	12.97	17
2707	63	73.9	0	4.7	12.97	18.12
2708	63	82	0	5.14	14.99	21.03
2709	53.1	78.1	0	5.59	14.09	21.92
2710	52	82.9	0	2.24	10.07	17
2711	57	89.1	0.05	4.03	14.09	18.12
2712	64.9	91.9	0.02	4.7	21.92	40.04
2713	72	91	0	7.61	18.12	25.95
2714	68	82.9	0	5.82	12.08	16.11
2715	62.1	84.9	0	2.91	8.95	12.97
2716	64.9	87.1	0	8.5	16.11	23.04
2717	69.1	90	0.29	3.8	14.09	18.12
2718	68	93.9	0	3.36	12.97	18.12
2719	68	93.9	0.58	4.7	31.99	44.07
2720	69.1	84.9	0.08	3.58	12.08	14.99
2721	66.9	88	0.42	4.25	18.12	25.05
2722	60.1	86	0	2.91	12.97	17
2723	57.9	87.1	0	2.91	8.95	14.09
2724	69.1	95	0.08	4.25	14.99	19.91
2725	70	96.1	0	7.16	18.12	23.04
2726	70	97	0	7.38	18.12	21.92
2727	70	97	0.27	6.04	31.09	46.98
2728	68	91	0.64	2.68	17	21.92
2729	68	91	0	3.58	14.99	19.91
2730	68	84	0	5.82	14.09	17
2731	64.9	84.9	0	5.14	10.07	16.11
2732	64.9	86	0	5.82	12.97	19.91
2733	73	93	0	6.71	14.99	19.91
2734	69.1	93	0	4.03	12.08	17
2735	70	84.9	0.88	4.92	21.03	25.05
2736	69.1	84.9	0	8.5	17	21.92
2737	60.1	84.9	0	3.8	8.95	16.11
2738	66	90	0	5.82	12.08	17
2739	73.9	93	0	7.83	16.11	21.03
2740	75.9	97	0	9.84	17	21.92
2741	73.9	90	0	6.93	10.96	18.12
2742	71.1	88	0	6.04	12.08	21.03
2743	61	82.9	0	4.92	14.99	18.12
2744	61	90	0	5.82	14.99	17
2745	66.9	96.1	0	10.51	19.91	29.97
2746	73.9	98.1	0	11.86	23.04	29.97
2747	73.9	96.1	0.02	6.93	23.94	31.99
2748	71.1	88	0.66	5.14	17	21.03
2749	69.1	86	0	2.46	8.95	14.99
2750	66	90	0	3.36	10.07	16.11
2751	71.1	93.9	0	7.16	14.99	19.91
2752	75	98.1	0	9.62	14.99	21.92
2753	70	93.9	4.21	7.61	17	23.94
2754	64	80.1	0	3.13	14.09	18.12
2755	60.1	84	0	2.24	8.05	14.09
2756	64	86	0	5.82	14.99	18.12
2757	66	82	0	4.25	14.09	17
2758	68	81	0.93	4.03	8.95	12.97
2759	73	79	1.16	2.68	12.08	17
2760	72	84.9	0	3.8	8.95	14.09
2761	71.1	91.9	0	5.59	17	23.04
2762	68	88	1.45	5.37	21.92	31.09
2763	66	82.9	0	3.36	8.95	17
2764	69.1	90	0	3.13	12.08	14.99
2765	72	87.1	0.45	7.61	21.03	25.05
2766	70	88	0	6.49	18.12	25.95
2767	63	82	0	2.01	10.07	14.99
2768	63	81	0	4.25	12.97	18.12
2769	66	82	0.08	2.68	8.95	14.09
2770	64.9	75.9	0.71	7.38	19.91	23.94
2771	64	70	0.08	3.36	12.08	14.09
2772	66.9	80.1	0	1.34	10.07	12.08
2773	68	84.9	0	2.24	12.08	14.99
2774	68	88	0	2.46	12.08	16.11
2775	70	90	0	3.36	14.99	18.12
2776	69.1	86	0	4.47	12.08	14.99
2777	69.1	81	0	3.58	12.08	12.97
2778	64	73.9	1.01	5.59	12.97	21.03
2779	66	81	0.56	6.71	14.99	21.03
2780	70	84	0.31	6.71	14.99	19.91
2781	70	87.1	2.45	4.92	23.04	27.96
2782	66.9	82	0	3.8	12.97	21.03
2783	57.9	82.9	0	2.91	12.08	14.99
2784	61	86	0	2.68	12.08	17
2785	68	89.1	0	3.36	12.08	14.09
2786	70	89.1	0	2.24	8.95	12.08
2787	70	88	0.61	3.36	19.91	33.11
2788	69.1	86	0	2.46	8.05	0
2789	70	90	1.06	2.24	31.09	57.94
2790	71.1	91	0	2.24	8.95	12.97
2791	71.1	91.9	0	2.24	14.09	19.91
2792	72	84	0.01	5.59	14.09	17
2793	63	81	0	8.72	16.11	21.92
2794	60.1	79	0	6.49	16.11	21.92
2795	60.1	82	0	4.47	14.09	17
2796	57.9	86	0	3.36	12.08	16.11
2797	64.9	91.9	0	1.34	8.95	12.08
2798	72	82	0.07	6.26	12.08	17
2799	72	89.1	0	4.92	12.08	14.99
2800	73	91	0	6.49	12.08	19.91
2801	73	93	0	4.7	12.97	16.11
2802	71.1	96.1	0	7.38	23.94	33.11
2803	71.1	93	0	4.92	17	23.94
2804	71.1	90	1.18	3.8	23.94	29.97
2805	71.1	91	0	3.8	12.08	14.09
2806	71.1	91	0	5.59	12.97	18.12
2807	70	78.1	0	7.16	16.11	21.03
2808	68	73	1.04	8.28	16.11	23.94
2809	66	75.9	0.03	5.14	12.97	17
2810	68	81	0	2.01	6.04	0
2811	66.9	88	0.09	5.59	19.91	23.04
2812	70	80.1	0.01	5.59	12.97	17
2813	69.1	80.1	0.02	5.37	14.09	18.12
2814	62.1	71.1	0.03	6.26	17	25.95
2815	63	75	0	2.68	8.05	14.09
2816	66.9	82.9	0.01	3.13	10.07	23.04
2817	66	79	0	6.04	12.97	18.12
2818	59	81	0.01	3.36	10.07	18.12
2819	63	80.1	0	6.93	16.11	23.94
2820	57.9	81	0	5.82	14.09	17
2821	63	87.1	0.12	6.26	14.99	21.03
2822	61	75.9	0	2.68	12.97	17
2823	55	64	0.15	7.83	17	23.04
2824	55	64	3.18	9.62	17	25.05
2825	63	68	0.03	7.38	12.97	18.12
2826	59	75.9	0	5.37	14.09	18.12
2827	55	75.9	0	3.8	12.97	17
2828	54	79	0	1.34	8.05	12.08
2829	64	73	0.01	1.12	6.93	8.95
2830	59	75	0	1.34	6.93	12.97
2831	55.9	79	0	0.89	8.05	12.97
2832	59	84	0	2.91	12.08	17
2833	64.9	84.9	0.09	7.83	19.91	23.94
2834	46.9	73	0	7.38	14.09	21.03
2835	41	66	0	3.13	10.07	21.92
2836	45	75.9	0	8.05	19.91	23.94
2837	55	80.1	0	9.4	17	25.95
2838	60.1	82.9	0	5.14	14.99	19.91
2839	51.1	79	0	2.68	10.07	12.97
2840	57.9	84	0.63	8.05	17	27.96
2841	57.9	86	0.22	9.4	16.11	23.94
2842	57	62.1	0.02	5.59	14.09	17
2843	60.1	81	0	4.03	12.08	14.99
2844	70	79	0.42	10.29	23.94	29.97
2845	57	75	0.62	6.71	18.12	25.05
2846	53.1	72	0	4.47	12.97	17
2847	48.9	73.9	0	4.25	14.99	25.05
2848	53.1	75	0	4.25	14.09	21.92
2849	44.1	64.9	0	2.91	12.97	19.91
2850	41	71.1	0	4.25	16.11	21.92
2851	51.1	73.9	0	4.03	14.09	23.04
2852	48	66.9	0	6.04	14.99	23.94
2853	42.1	70	0	4.25	12.97	21.03
2854	43	70	0	2.01	8.95	12.97
2855	39	71.1	0	2.68	8.95	12.97
2856	45	75.9	0	4.47	16.11	21.92
2857	39.9	75.9	0	1.57	8.95	14.99
2858	50	84	0	5.82	14.99	21.03
2859	55	78.1	0.18	7.83	19.91	25.05
2860	46.9	66.9	0	3.36	10.07	14.99
2861	42.1	62.1	0	5.14	12.97	16.11
2862	45	51.1	0.61	8.5	18.12	27.96
2863	37	53.1	0	6.71	17	27.96
2864	29.1	64	0	3.36	12.97	14.99
2865	39.9	66	0	6.71	16.11	21.03
2866	46.9	71.1	0	6.04	12.97	16.11
2867	50	68	0.21	10.74	21.92	36.01
2868	37.9	60.1	0	4.03	16.11	23.94
2869	31.1	60.1	0	2.91	12.97	21.03
2870	39.9	60.1	0	0.67	6.93	10.07
2871	35.1	66	0	2.46	12.97	16.11
2872	45	72	0	3.8	12.97	16.11
2873	50	75.9	0	3.13	8.95	12.97
2874	44.1	59	0	7.38	14.09	19.91
2875	29.1	44.1	0	5.37	14.09	19.91
2876	25.2	46	0	1.79	8.05	12.97
2877	27.1	48.9	0.04	1.79	6.93	12.08
2878	43	66.9	0.43	9.4	25.05	31.99
2879	23.2	43	0	5.59	14.09	21.03
2880	19.2	43	0	5.82	16.11	21.92
2881	28.2	59	0	7.38	21.03	29.97
2882	26.2	48	0	3.58	12.97	21.03
2883	22.1	54	0	1.79	8.95	16.11
2884	34	66	0.64	4.7	21.92	29.97
2885	60.1	72	0.01	13.2	25.05	33.11
2886	48	64.9	0.1	5.37	16.11	21.03
2887	35.1	50	1.69	6.71	23.04	36.91
2888	35.1	46.9	0.05	4.25	12.08	18.12
2889	26.2	45	0	2.46	12.08	18.12
2890	27.1	54	0	5.82	16.11	19.91
2891	36	66	0	8.72	23.04	31.09
2892	44.1	73.9	0	6.04	12.97	14.99
2893	46	55	0	6.49	18.12	25.05
2894	44.1	57	0	4.25	14.99	18.12
2895	39.9	54	0	6.26	10.07	17
2896	39.9	52	0	2.46	8.05	10.07
2897	46	55.9	0.16	3.58	16.11	31.09
2898	35.1	53.1	0	12.97	23.94	36.91
2899	34	45	0.13	8.5	17	23.94
2900	35.1	45	0.5	3.58	8.95	17
2901	31.1	50	0	5.37	14.99	23.94
2902	26.2	48	0	5.37	14.99	21.03
2903	26.2	57	0	3.58	14.99	21.03
2904	28.2	60.1	0	1.57	8.95	14.99
2905	29.1	57.9	0	1.34	10.07	14.99
2906	30.2	60.1	0	1.57	12.08	14.99
2907	37	52	0.32	3.13	10.07	14.09
2908	39	60.1	0	3.58	12.97	16.11
2909	31.1	51.1	0	1.12	8.95	12.97
2910	36	52	0	2.01	8.95	14.09
2911	31.1	39	0.07	2.91	12.97	16.11
2912	37.9	50	0	4.03	10.07	12.97
2913	36	41	0.4	6.71	14.09	18.12
2914	37	46.9	0.9	2.46	8.95	12.97
2915	46	66	1.71	7.38	18.12	25.05
2916	35.1	64	0.03	5.82	17	23.94
2917	30.2	57.9	0	1.57	12.08	14.09
2918	31.1	62.1	0	3.13	12.08	16.11
2919	48	61	0.01	6.71	14.99	19.91
2920	41	55	0.72	6.71	12.08	16.11
2921	28.2	41	0.02	5.82	17	23.94
2922	26.2	46	0	1.34	8.95	14.99
2923	23.2	51.1	0	4.7	14.99	18.12
2924	41	54	0	2.91	8.95	12.08
2925	46	51.1	0.16	3.8	8.95	23.94
2926	48.9	69.1	0.29	10.07	25.95	38.92
2927	32	55.9	0	5.37	14.99	21.92
2928	26.2	55	0	4.7	21.03	25.95
2929	16.2	39	0	6.26	17	27.96
2930	11.1	27.1	0	5.37	14.99	23.04
2931	22.1	45	0	8.28	21.03	25.95
2932	22.1	39	0	1.57	8.05	14.09
2933	17.2	48.9	0	0.89	6.93	12.08
2934	36	48	1.29	2.01	12.97	18.12
2935	31.1	44.1	0.03	11.41	19.91	27.96
2936	28.2	33.1	0.01	4.92	12.08	17
2937	31.1	41	0	3.13	8.95	10.07
2938	30.2	53.1	0	3.58	14.09	21.92
2939	27.1	51.1	0	4.7	12.08	21.03
2940	41	60.1	0.49	5.37	18.12	31.09
2941	31.1	63	0	5.14	14.99	21.92
2942	39	66.9	0	6.26	16.11	19.91
2943	36	54	0	4.92	12.08	16.11
2944	30.2	59	0	2.91	12.97	17
2945	35.1	41	0.67	6.93	14.09	17
2946	35.1	48.9	0.14	5.82	12.97	21.03
2947	29.1	55	0	4.7	12.97	17
2948	37.9	50	0.24	2.91	8.95	17
2949	30.2	44.1	0.01	5.14	12.08	18.12
2950	25.2	46	0	2.91	12.08	16.11
2951	23.2	46.9	0.02	4.7	14.99	18.12
2952	29.1	48	0	8.05	18.12	31.09
2953	22.1	48	0	2.46	12.08	16.11
2954	32	57	0	6.71	19.91	25.05
2955	29.1	62.1	0.39	13.42	25.95	38.92
2956	22.1	45	0	3.36	10.07	14.99
2957	25.2	54	0	6.04	16.11	19.91
2958	27.1	50	0	6.26	16.11	25.95
2959	17.2	42.1	0	4.25	12.97	16.11
2960	26.2	60.1	0	8.28	23.04	29.08
2961	39	72	0	14.09	27.96	38.03
2962	45	62.1	0.4	6.04	17	21.92
2963	36	45	0.17	10.96	16.11	25.05
2964	30.2	51.1	0	4.92	18.12	25.95
2965	29.1	54	0	5.59	21.03	35.12
2966	23.2	35.1	0	4.92	14.09	19.91
2967	22.1	53.1	0	11.18	35.12	48.09
2968	15.3	29.1	0	9.4	23.04	38.03
2969	19.2	27.1	0.22	6.26	12.97	16.11
2970	19.2	35.1	0.39	4.7	12.97	18.12
2971	19.2	39.9	0.06	6.04	23.94	27.96
2972	12.2	23.2	0	8.5	18.12	25.95
2973	7.2	26.2	0	5.59	12.97	19.91
2974	18.1	39.9	0	3.36	8.95	14.09
2975	34	57	0.08	2.46	12.08	16.11
2976	30.2	46.9	0.03	7.38	14.99	19.91
2977	19.2	30.2	0.09	4.47	16.11	21.92
2978	18.1	46	0.36	4.25	12.08	16.11
2979	28.2	35.1	0.72	6.26	17	25.05
2980	23.2	45	0	3.13	10.07	14.09
2981	26.2	37	0	6.93	17	23.04
2982	28.2	35.1	0.67	3.58	12.08	14.09
2983	34	61	0	4.92	12.97	21.03
2984	35.1	43	0.07	5.37	14.09	19.91
2985	37.9	75	0.02	13.87	29.97	38.92
2986	32	66	0.97	10.51	23.04	29.08
2987	24.3	37	0	5.82	17	23.94
2988	20.1	57.9	0	6.04	16.11	21.92
2989	35.1	71.1	0	4.92	16.11	21.92
2990	48	64.9	0	3.8	12.97	16.11
2991	50	75	0	6.93	21.03	25.05
2992	59	75.9	0.11	5.14	16.11	18.12
2993	48.9	66	0	7.83	17	23.04
2994	42.1	53.1	0.02	4.92	12.08	17
2995	45	62.1	0.3	4.7	21.03	25.95
2996	48	73	0	6.26	16.11	25.05
2997	41	80.1	0	4.92	17	27.96
2998	46.9	82	0	6.04	17	29.08
2999	39	60.1	0	4.7	14.09	21.92
3000	39.9	54	0.34	4.92	14.09	17
3001	39.9	51.1	0.31	3.36	12.08	14.99
3002	39.9	64.9	0	3.36	12.97	17
3003	46.9	66	0	4.25	12.97	17
3004	43	57.9	0	8.5	17	23.04
3005	36	66.9	0	5.14	18.12	27.96
3006	46.9	66.9	0	4.03	16.11	23.04
3007	57	75	0.13	10.51	25.95	31.99
3008	39.9	66	0.18	8.28	23.94	31.99
3009	32	46	0	6.26	17	23.04
3010	22.1	52	0	4.7	14.09	19.91
3011	41	66	0.16	9.84	21.03	25.05
3012	35.1	73.9	0	9.17	29.08	36.01
3013	46.9	66	0	6.71	16.11	21.03
3014	39	73.9	0	10.07	21.03	27.96
3015	61	82.9	0	16.33	29.97	36.91
3016	43	73	0	8.5	23.94	29.97
3017	33.1	68	0	4.7	16.11	21.92
3018	52	75.9	0	7.61	18.12	25.95
3019	61	72	0.11	5.14	14.99	18.12
3020	62.1	84	0	5.82	29.97	38.03
3021	57	78.1	0.53	5.82	23.94	27.96
3022	64.9	84	0	13.65	29.97	36.91
3023	52	75	0	3.8	12.97	19.91
3024	46.9	73	0	7.61	19.91	27.96
3025	50	80.1	0	6.04	14.99	21.92
3026	61	79	1.23	6.04	17	25.05
3027	52	61	0.31	5.59	10.96	16.11
3028	48	66	0.05	4.47	10.07	18.12
3029	55.9	78.1	0	2.01	8.05	12.97
3030	61	80.1	0.01	3.13	12.08	16.11
3031	63	73	0.76	8.5	19.91	27.96
3032	63	78.1	0.28	11.86	21.92	29.08
3033	52	70	0.63	4.92	17	23.04
3034	44.1	77	0	9.62	25.05	35.12
3035	48.9	68	0	6.71	19.91	29.97
3036	37.9	66.9	0	3.58	14.99	21.03
3037	45	57	0.34	3.58	12.08	14.99
3038	45	54	0.02	5.82	12.97	16.11
3039	39	68	0	4.03	14.09	21.92
3040	39	69.1	0	2.68	12.08	17
3041	43	70	0	2.01	10.07	12.97
3042	51.1	73	0.99	4.47	18.12	25.05
3043	51.1	61	0.58	4.47	16.11	21.03
3044	46	73	0	2.91	12.97	18.12
3045	46.9	79	0	2.68	12.08	14.99
3046	53.1	82	0	7.61	14.99	21.03
3047	55.9	82	0	7.38	16.11	19.91
3048	54	82.9	0	3.8	12.08	17
3049	57.9	82	0	7.61	18.12	23.94
3050	57	81	0	7.83	18.12	23.94
3051	64.9	84.9	0.03	9.4	21.03	27.96
3052	68	78.1	0.22	9.4	21.92	31.99
3053	69.1	87.1	0.14	8.5	19.91	25.95
3054	68	87.1	0	8.05	17	21.92
3055	57.9	80.1	0	3.58	12.08	16.11
3056	55.9	72	0	7.16	16.11	23.94
3057	55	77	0	5.37	10.07	14.99
3058	60.1	84.9	0	7.16	14.09	18.12
3059	63	88	0	6.93	14.09	17
3060	69.1	91	0	6.49	17	21.92
3061	69.1	90	1.38	4.25	25.05	35.12
3062	62.1	88	0	4.03	14.09	21.03
3063	57	71.1	0.24	6.49	17	21.92
3064	52	75	0	3.13	10.07	18.12
3065	48	80.1	0	2.91	14.99	18.12
3066	54	82.9	0	4.7	12.08	16.11
3067	57	84	0	6.49	14.99	19.91
3068	64.9	89.1	0	8.05	18.12	23.94
3069	69.1	87.1	0.3	6.71	17	21.92
3070	68	87.1	0.15	4.7	14.99	21.03
3071	66	87.1	0	4.03	14.09	16.11
3072	66	88	0	4.25	12.97	16.11
3073	69.1	89.1	0	6.93	12.97	19.91
3074	68	90	0.08	6.93	25.95	35.12
3075	66.9	82	0.15	3.8	10.07	14.99
3076	63	68	0.02	7.16	14.99	18.12
3077	61	68	0.02	5.37	12.08	16.11
3078	60.1	78.1	0.01	3.58	10.07	14.09
3079	59	88	0	5.59	14.09	19.91
3080	62.1	86	0	6.71	12.97	21.03
3081	64.9	89.1	0	11.18	21.03	25.05
3082	66.9	89.1	0.31	7.61	18.12	23.94
3083	66.9	88	0.25	4.47	12.08	18.12
3084	70	93	0.08	6.49	16.11	25.05
3085	71.1	90	0	8.05	18.12	21.92
3086	73.9	95	0	4.92	10.07	14.99
3087	71.1	96.1	0	3.36	14.99	21.92
3088	72	99	0	3.13	10.07	16.11
3089	73	100	0	4.03	14.99	23.04
3090	73.9	96.1	0.51	3.8	16.11	21.03
3091	71.1	98.1	2.1	5.59	23.04	29.97
3092	72	95	0.23	4.7	14.09	19.91
3093	71.1	96.1	0.01	9.4	36.01	51
3094	73	95	0	6.49	14.99	19.91
3095	70	96.1	0	2.24	10.07	14.09
3096	75.9	98.1	0	8.28	17	21.92
3097	73.9	95	0	4.92	14.09	17
3098	71.1	91.9	0.31	5.82	19.91	25.05
3099	69.1	91.9	1.26	4.7	29.08	42.95
3100	70	88	0.99	8.28	18.12	29.97
3101	64	84	0	5.82	16.11	23.94
3102	60.1	88	0	3.8	12.97	17
3103	66.9	91.9	0.02	6.71	23.04	27.96
3104	66.9	87.1	0	7.38	17	23.04
3105	72	87.1	0.24	6.71	18.12	21.92
3106	69.1	78.1	0.14	4.03	12.08	14.99
3107	69.1	87.1	0.06	8.5	21.03	29.08
3108	69.1	90	0.79	6.04	29.08	44.96
3109	70	89.1	0	8.05	17	23.94
3110	70	91	0	6.26	14.09	18.12
3111	72	91	0	6.71	23.04	31.09
3112	72	93.9	0	5.82	16.11	21.92
3113	73	93.9	0	4.92	12.97	17
3114	72	91	0	5.37	17	23.94
3115	66	86	0	3.58	12.08	14.99
3116	71.1	88	0.65	6.49	23.94	27.96
3117	70	88	0	9.62	18.12	23.04
3118	73.9	88	0	4.92	12.97	19.91
3119	72	86	0	6.71	16.11	21.03
3120	68	90	0	3.36	6.93	18.12
3121	73.9	93	0.02	7.61	14.09	21.03
3122	72	93	1.57	5.14	23.94	36.01
3123	72	93	0	4.47	16.11	21.03
3124	73	93	0.78	6.04	31.99	44.07
3125	71.1	88	0	2.24	8.95	14.09
3126	72	82	0.76	5.59	21.92	29.08
3127	68	86	0	5.14	16.11	19.91
3128	64	88	0	2.24	10.07	14.99
3129	66	89.1	0	3.13	8.95	17
3130	72	90	0	4.25	10.07	14.09
3131	73	90	0	4.03	14.09	19.91
3132	75	91	0	4.47	8.95	12.97
3133	73	93.9	0	2.91	8.95	14.09
3134	71.1	91	0	3.8	12.97	17
3135	64.9	93	0	1.57	12.97	14.09
3136	64.9	90	0	3.58	12.08	14.09
3137	69.1	95	0	6.26	14.99	21.03
3138	73	95	0	5.37	12.97	17
3139	73	97	0	3.13	14.99	23.04
3140	71.1	95	1.68	2.68	25.95	31.09
3141	70	75	0.02	5.82	12.08	14.99
3142	66	84.9	0	7.38	17	21.92
3143	64	89.1	0	2.01	8.95	16.11
3144	71.1	84.9	0	7.38	14.09	17
3145	69.1	87.1	0.29	7.38	21.03	31.99
